 ,Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
1,000_1021.nd2 - C=1:0001-0387-0559:c:2/2 t:1/60 - 000_1021.nd2 (series 1),334.62,1128.444,135.251,377599.793,22343183,R_D_21_result.mat,000_1021.nd2:0001-0137-0168:c:2/2 t:1/60 - 000_1021.nd2 (series 1),395.325,567.486,80.08,224341.179,13274626
2,000_1022.nd2 - C=1:0001-0423-0507:c:2/2 t:1/61 - 000_1022.nd2 (series 1),480.957,1321.655,135.819,635659.379,37612981,R_D_22_result.mat,000_1022.nd2:0001-0137-0168:c:2/2 t:1/61 - 000_1022.nd2 (series 1),395.325,600.862,80.08,237535.821,14055374
3,000_1023.nd2 - C=1:0001-0318-0482:c:2/2 t:1/61 - 000_1023.nd2 (series 1),1272.046,1794.779,283.679,2283041.043,135091186,R_D_23_result.mat,000_1023.nd2:0001-0137-0168:c:2/2 t:1/61 - 000_1023.nd2 (series 1),395.325,598.37,80.08,236550.314,13997060
4,000_1024.nd2 - C=1:0001-0418-0506:c:2/2 t:1/61 - 000_1024.nd2 (series 1),519.371,2498.609,258.609,1297704.812,76787267,R_D_24_result.mat,000_1024.nd2:0001-0137-0168:c:2/2 t:1/61 - 000_1024.nd2 (series 1),395.325,508.409,80.08,200986.613,11892699
5,000_1025.nd2 - C=1:0001-0392-0490:c:2/2 t:1/61 - 000_1025.nd2 (series 1),533.516,797.408,278.978,425430.088,25173378,R_D_25_result.mat,000_1025.nd2:0001-0137-0168:c:2/2 t:1/61 - 000_1025.nd2 (series 1),395.325,554.784,80.08,219319.851,12977506
6,000_1026.nd2 - C=1:0001-0473-0491:c:2/2 t:1/60 - 000_1026.nd2 (series 1),388.531,1003.831,143.545,390019.535,23078079,R_D_26_result.mat,000_1026.nd2:0001-0137-0168:c:2/2 t:1/60 - 000_1026.nd2 (series 1),395.325,480.861,80.08,190096.321,11248303
7,000_1027.nd2 - C=1:0001-0321-0448:c:2/2 t:1/61 - 000_1027.nd2 (series 1),1549.679,1774.836,514.857,2750426.21,162747113,R_D_27_result.mat,000_1027.nd2:0001-0113-0138:c:2/2 t:1/61 - 000_1027.nd2 (series 1),395.325,671.85,80.08,265599.048,15715920
8,000_1028.nd2 - C=1:0001-0410-0528:c:2/2 t:1/61 - 000_1028.nd2 (series 1),1748.052,801.121,501.428,1400400.637,82863943,R_D_28_result.mat,000_1028.nd2:0001-0137-0168:c:2/2 t:1/61 - 000_1028.nd2 (series 1),395.325,482.151,80.08,190606.059,11278465
9,000_1029.nd2 - C=1:0001-0518-0518:c:2/2 t:1/59 - 000_1029.nd2 (series 1),1303.142,872.847,215.975,1137443.278,67304336,R_D_29_result.mat,000_1029.nd2:0001-0137-0168:c:2/2 t:1/59 - 000_1029.nd2 (series 1),395.325,492.761,80.08,194800.74,11526671
10,000_1030.nd2 - C=1:0001-0555-0577:c:2/2 t:1/60 - 000_1030.nd2 (series 1),1247.761,1284.623,403.908,1602902.774,94846318,R_D_30_result.mat,000_1030.nd2:0001-0137-0168:c:2/2 t:1/60 - 000_1030.nd2 (series 1),395.325,579.439,80.08,229066.707,13554243
11,001_01.nd2 - C=1:0001-0543-0447:c:2/2 t:1/61 - 001_01.nd2 (series 1),1526.256,967.32,409.758,1476378.32,87359664,R_D_123_00.mat,001_01.nd2:0001-0137-0168:c:2/2 t:1/61 - 001_01.nd2 (series 1),395.325,528.073,80.08,208760.258,12352678
12,001_01001.nd2 - C=1:0001-0412-0474:c:2/2 t:1/61 - 001_01001.nd2 (series 1),1828.259,740.622,256.142,1354048.11,80121190,R_D_123_01.mat,001_01001.nd2:0001-0137-0168:c:2/2 t:1/61 - 001_01001.nd2 (series 1),395.325,488.025,80.08,192928.389,11415881
13,001_01002.nd2 - C=1:0001-0479-0509:c:2/2 t:1/61 - 001_01002.nd2 (series 1),1211.561,720.292,284.41,872677.451,51637719,R_D_123_02.mat,001_01002.nd2:0001-0137-0168:c:2/2 t:1/61 - 001_01002.nd2 (series 1),395.325,496.193,80.08,196157.523,11606954
14,001_01003.nd2 - C=1:0001-0528-0456:c:2/2 t:1/61 - 001_01003.nd2 (series 1),910.826,611.997,316.475,557422.536,32983582,R_D_123_03.mat,001_01003.nd2:0001-0137-0168:c:2/2 t:1/61 - 001_01003.nd2 (series 1),395.325,478.913,80.08,189326.238,11202736
15,001_01004.nd2 - C=1:0001-0409-0489:c:2/2 t:1/60 - 001_01004.nd2 (series 1),3589.763,1397.766,622.696,5017646.71,296902172,R_D_123_04.mat,001_01004.nd2:0001-0121-0356:c:2/2 t:1/60 - 001_01004.nd2 (series 1),395.325,489.281,80.08,193424.928,11445262
16,001_01005.nd2 - C=1:0001-0352-0477:c:2/2 t:1/60 - 001_01005.nd2 (series 1),1321.715,629.562,274.748,832101.345,49236766,R_D_123_05.mat,001_01005.nd2:0001-0137-0168:c:2/2 t:1/60 - 001_01005.nd2 (series 1),395.325,478.16,80.08,189028.511,11185119
17,001_01006.nd2 - C=1:0001-0362-0513:c:2/2 t:1/61 - 001_01006.nd2 (series 1),1101.762,588.472,332.646,648355.842,38364251,R_D_123_06.mat,001_01006.nd2:0001-0137-0168:c:2/2 t:1/61 - 001_01006.nd2 (series 1),395.325,478.205,80.08,189046.189,11186165
18,001_01007.nd2 - C=1:0001-0502-0484:c:2/2 t:1/61 - 001_01007.nd2 (series 1),672.552,555.628,240.477,373689.234,22111789,R_D_123_07.mat,001_01007.nd2:0001-0137-0168:c:2/2 t:1/61 - 001_01007.nd2 (series 1),395.325,473.59,80.08,187221.681,11078206
19,001_01008.nd2 - C=1:0001-0538-0466:c:2/2 t:1/61 - 001_01008.nd2 (series 1),1366.551,684.499,387.924,935403.339,55349310,R_D_123_08.mat,001_01008.nd2:0001-0137-0168:c:2/2 t:1/61 - 001_01008.nd2 (series 1),395.325,463.114,80.08,183080.421,10833161
20,001_01009.nd2 - C=1:0001-0492-0452:c:2/2 t:1/61 - 001_01009.nd2 (series 1),1153.577,640.51,186.295,738877.988,43720591,R_D_123_09.mat,001_01009.nd2:0001-0137-0168:c:2/2 t:1/61 - 001_01009.nd2 (series 1),395.325,463.54,80.08,183249.049,10843139
,Dimer_002.nd2 - C=1:0001-0652-0581:c:2/2 t:1/61 - Dimer_002.nd2 (series 1),646.307,596.818,140.486,385727.679,22824123,R_D_518_02.mat,Dimer_002.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_002.nd2 (series 1),411.329,478.93,82.16,196997.993,11656686
,Dimer_003.nd2 - C=1:0001-0582-0341:c:2/2 t:1/61 - Dimer_003.nd2 (series 1),1234.308,578.13,206.35,713591.329,42224339,R_D_518_03.mat,Dimer_003.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_003.nd2 (series 1),411.329,482.554,82.16,198488.438,11744878
,Dimer_004.nd2 - C=1:0001-0572-0527:c:2/2 t:1/61 - Dimer_004.nd2 (series 1),698.95,793.981,135.482,554953.361,32837477,R_D_518_04.mat,Dimer_004.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_004.nd2 (series 1),411.329,519.751,82.16,213788.769,12650223
,Dimer_005.nd2 - C=1:0001-0644-0518:c:2/2 t:1/61 - Dimer_005.nd2 (series 1),505.023,723.368,169.087,365317.194,21616402,R_D_518_05.mat,Dimer_005.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_005.nd2 (series 1),411.329,509.814,82.16,209701.47,12408371
,Dimer_006.nd2 - C=1:0001-0601-0344:c:2/2 t:1/61 - Dimer_006.nd2 (series 1),1325.264,564.253,434.413,747784.457,44247601,R_D_518_06.mat,Dimer_006.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_006.nd2 (series 1),411.329,480.297,82.16,197560.155,11689950
,Dimer_007.nd2 - C=1:0001-0511-0522:c:2/2 t:1/61 - Dimer_007.nd2 (series 1),500.02,570.288,160.149,285155.61,16873113,R_D_518_07.mat,Dimer_007.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_007.nd2 (series 1),411.329,474.546,82.16,195194.628,11549978
,Dimer_008.nd2 - C=1:0001-0526-0442:c:2/2 t:1/61 - Dimer_008.nd2 (series 1),1724.307,700.675,238.78,1208178.093,71489828,R_D_518_08.mat,Dimer_008.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_008.nd2 (series 1),411.329,482.285,82.16,198377.997,11738343
,Dimer_009.nd2 - C=1:0001-0639-0512:c:2/2 t:1/61 - Dimer_009.nd2 (series 1),489.83,606.473,185.171,297068.301,17578006,R_D_518_09.mat,Dimer_009.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_009.nd2 (series 1),411.329,477.511,82.16,196414.082,11622135
,Dimer_010.nd2 - C=1:0001-0363-0415:c:2/2 t:1/61 - Dimer_010.nd2 (series 1),69.374,915.782,43.926,63531.916,3759285,R_D_518_10.mat,Dimer_010.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_010.nd2 (series 1),411.329,480.045,82.16,197456.643,11683825
,Dimer_003.nd2 - C=1:0001-0634-0774:c:2/2 t:1/61 - Dimer_003.nd2 (series 1),682.659,553.15,167.509,377612.789,22343952,R_D_518_11.mat,Dimer_003.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_003.nd2 (series 1),411.329,482.554,82.16,198488.438,11744878
,Dimer_010.nd2 - C=1:0001-0592-0506:c:2/2 t:1/61 - Dimer_010.nd2 (series 1),320.424,886.904,111.657,284185.296,16815698,R_D_518_12.mat,Dimer_010.nd2 - C=1:0001-0937-0903:c:2/2 t:1/61 - Dimer_010.nd2 (series 1),411.329,480.045,82.16,197456.643,11683825